# Web server load statistics 
# Plot parameters follow:
#
# set title "Web server activity"
# set xlab  "time (min)"
# set ylab  "load avg"
# set ymin  0.0
# set ymax  5.0
# set dx    0.083333
# set nfilt 128
#
# Machines: dejanews dejanews3 dejanews4 dejanews5

356 1.46 0.60 1.52 2.71
357 1.58 0.63 1.79 2.57
358 1.46 0.58 1.65 2.53
359 1.34 0.54 1.48 3.95
360 1.23 0.49 1.60 4.04
361 1.28 0.50 1.63 3.88
362 1.26 0.62 1.66 4.04
363 1.16 0.64 1.61 4.04
364 1.22 0.84 1.48 3.80
365 1.53 0.77 1.52 3.57
366 1.48 0.70 1.64 3.37
367 1.36 0.65 1.77 3.40
368 1.25 0.60 1.70 3.21
369 1.23 0.55 1.57 2.95
370 1.59 0.62 1.68 2.95
371 1.54 0.81 1.87 3.12
372 1.42 0.83 1.80 3.35
373 1.39 0.76 1.65 3.56
374 1.27 1.02 1.52 3.36
375 1.41 0.94 1.45 3.41
376 1.30 0.94 1.33 3.43
377 1.32 1.11 1.22 3.16
378 1.22 1.09 1.29 2.98
379 1.28 1.09 1.26 2.74
380 1.34 1.00 1.40 2.52
381 1.23 1.00 1.53 3.12
382 1.21 1.16 1.37 3.27
383 1.20 1.14 1.26 3.30
384 1.34 1.05 1.32 3.28
385 1.21 0.89 1.38 3.34
386 1.11 0.82 1.34 3.79
387 1.10 0.83 1.32 3.64
388 1.09 0.77 1.21 3.35
389 1.16 0.70 1.11 3.24
390 1.23 0.73 1.18 3.38
391 1.13 0.67 1.09 3.35
392 1.20 0.70 1.00 2.92
393 1.11 0.64 0.91 2.68
394 1.16 0.77 1.32 2.71
395 1.15 0.71 1.21 3.37
396 1.05 0.73 1.12 3.10
397 0.97 0.68 1.03 3.57
398 0.97 0.62 1.43 3.93
399 1.21 0.73 1.39 3.69
400 1.12 0.91 1.44 3.71
401 1.19 0.84 1.22 3.66
402 1.25 0.77 1.12 3.61
403 1.59 0.65 1.03 3.48
404 1.62 0.84 0.95 3.28
405 1.57 0.85 0.87 3.42
406 1.52 0.79 0.80 3.46
407 1.40 0.72 0.82 3.50
408 1.69 0.90 0.75 3.30
409 2.27 0.91 0.63 3.12
410 2.09 0.84 1.06 3.19
411 1.92 0.93 1.70 2.94
412 1.85 0.86 1.64 3.34
413 1.93 1.04 1.59 3.23
414 1.94 1.12 1.54 3.05
415 2.02 1.19 1.58 3.13
416 1.86 1.33 1.77 2.96
417 1.87 1.39 1.63 3.29
418 1.72 1.27 2.14 3.42
419 1.66 1.57 1.97 3.14
420 1.53 1.53 1.66 2.89
421 1.48 1.72 1.69 2.66
422 1.37 1.59 1.64 2.25
423 1.34 1.46 1.50 2.39
424 1.13 1.39 1.38 2.20
425 1.04 1.76 1.43 2.58
426 0.96 1.78 1.56 2.38
427 1.04 1.72 1.59 2.43
428 1.04 1.58 2.11 2.31
429 1.11 1.45 1.94 2.29
430 1.02 1.45 1.79 2.18
431 1.02 1.23 1.73 2.33
432 0.94 1.13 1.67 2.14
433 0.95 1.68 1.70 1.97
434 0.88 1.62 1.80 1.81
435 0.97 1.57 1.66 1.66
436 1.21 1.69 1.60 1.53
437 1.27 1.88 1.55 1.49
438 1.17 2.04 1.51 1.45
439 1.16 2.28 1.47 1.41
440 1.06 2.01 1.59 1.38
441 0.98 1.85 1.50 1.16
442 1.47 1.78 1.62 1.15
443 1.35 1.71 1.65 1.46
444 1.32 1.58 1.60 1.50
445 1.30 1.45 1.47 1.54
446 1.51 1.66 1.83 1.42
447 1.39 1.52 1.84 1.30
448 1.28 1.40 1.86 1.20
449 1.34 1.37 2.03 1.18
450 1.23 1.23 1.86 1.33
451 1.21 1.53 1.89 1.22
452 1.10 1.73 1.90 1.59
453 1.09 1.75 2.15 1.46
454 1.08 1.69 2.30 1.59
455 1.23 1.55 2.11 1.54
456 1.21 1.51 2.02 1.58
457 1.12 1.87 1.94 1.53
458 1.03 1.81 2.02 1.41
459 1.02 1.66 1.86 1.61
460 1.09 1.53 2.03 1.53
461 1.09 1.49 1.87 1.64
462 1.08 1.69 2.12 1.83
463 0.99 1.55 1.95 1.68
464 1.15 1.75 1.87 1.55
465 1.22 1.61 1.96 1.43
466 1.20 1.48 1.88 1.39
467 1.11 1.25 1.81 1.52
468 1.08 1.23 1.70 1.56
469 1.07 1.13 1.56 1.40
470 1.31 1.12 1.43 1.52
471 1.20 1.11 1.48 2.04
472 1.11 1.02 1.36 2.92
473 1.18 1.18 1.41 2.69
474 1.08 1.09 1.62 2.47
475 1.00 1.08 1.57 2.27
476 0.92 0.99 1.44 2.33
477 1.16 1.56 1.73 2.14
478 1.23 1.99 1.94 1.97
479 1.12 2.15 1.86 1.89
480 1.11 1.98 1.79 2.06
481 1.18 2.14 1.73 1.89
482 1.25 1.97 1.99 1.82
483 1.23 1.89 2.07 1.91
484 1.13 2.14 2.46 1.84
485 1.04 2.05 2.67 1.70
486 0.95 2.10 2.26 1.80
487 0.95 1.93 2.16 1.73
488 0.96 1.86 2.14 1.86
489 0.96 1.79 1.97 1.95
490 0.88 1.80 1.97 2.27
491 0.81 1.82 2.46 2.41
492 0.91 1.68 2.42 2.22
493 0.91 1.86 2.23 2.20
494 1.16 1.71 2.12 2.18
495 0.98 1.57 1.96 2.17
496 1.06 1.64 1.80 2.00
497 1.06 1.59 1.52 1.91
498 1.53 1.62 1.56 2.16
499 1.41 1.49 1.59 2.15
500 1.30 1.77 1.71 2.21
501 1.19 1.71 1.73 2.04
502 1.10 1.65 2.15 2.11
503 1.01 1.52 2.38 1.95
504 1.49 1.48 2.51 1.87
505 1.41 1.70 2.31 2.12
506 1.38 1.80 2.03 2.59
507 1.51 1.82 2.03 2.19
508 1.95 1.91 2.19 2.18
509 2.11 1.92 2.01 2.16
510 2.02 1.84 2.25 2.15
511 1.86 2.10 2.39 2.14
512 1.87 1.93 2.76 2.12
513 1.80 1.86 2.78 2.27
